"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Total, all product categories","Tonnes","287","units","0","v1331406803","1.12.1","-47424","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Construction materials","Tonnes","287","units","0","v1331406804","1.12.2","-779","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Electrical and electronic equipment","Tonnes","287","units","0","v1331406805","1.12.3","-1399","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Electronics","Tonnes","287","units","0","v1331406806","1.12.4","-934","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Major appliances","Tonnes","287","units","0","v1331406807","1.12.5","0","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406808","1.12.6","-464","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Packaging","Tonnes","287","units","0","v1331406809","1.12.7","-43655","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Bottles","Tonnes","287","units","0","v1331406810","1.12.8","-28372","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Film","Tonnes","287","units","0","v1331406811","1.12.9","-6415","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Non-bottle rigid","Tonnes","287","units","0","v1331406812","1.12.10","-8705","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Other packaging products","Tonnes","287","units","0","v1331406813","1.12.11","-162","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Agriculture film","Tonnes","287","units","0","v1331406814","1.12.12","0","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of sorted and baled plastic waste and scrap","Textiles","Tonnes","287","units","0","v1331406815","1.12.13","","..","","","0"
